ingredient,quantity
almond milk,8 oz of almond milk
apple,2 apples
apple cider,4 oz of apple cider
apple cider vinegar,1 tbsp of apple cider vinegar
apples,3 apples
arborio rice,1 cup of arborio rice
artichokes,2 artichokes
asparagus,1 cup of asparagus
avocado,1 avocado
bacon,3 slices of bacon
baguette,4 slices of baguette
baking powder,1 tsp of baking powder
balsamic glaze,2 tbsp of balsamic glaze
balsamic vinaigrette,1.5 tbsp of balsamic vinaigrette
banana,1 banana
basil,2 tbsp of basil
basil pesto,2 tbsp of basil pesto
BBQ sauce,2 tbsp of BBQ sauce
beef,0.5 lb of beef
beef broth,6 oz of beef broth
bell peppers,2 bell peppers
berries,1 cup of berries
biscuits,2 biscuits
black beans,8 oz of black beans
black tea,1 bag of black tea
blueberries,0.75 cup of blueberries
blue cheese,2 oz of blue cheese
bread,2 slices of bread
breadcrumbs,0.5 cup of breadcrumbs
brown sugar,0.25 cup of brown sugar
brussels sprouts,1 cup of brussels sprouts
buns,2 buns
butter,2 tbsp of butter
butternut squash,1 cup of butternut squash
cabbage,1.5 cups of cabbage
caesar dressing,2 tbsp of caesar dressing
carrots,2 carrots
celery,2 stalks of celery
cheese,0.5 cup of cheese
cherry tomatoes,0.5 cup of cherry tomatoes
chia seeds,2 tbsp of chia seeds
chicken breast,1 chicken breast
chicken broth,8 oz of chicken broth
chicken thighs,2 chicken thighs
chickpeas,0.75 cup of chickpeas
chives,1 tbsp of chives
chocolate chips,0.5 cup of chocolate chips
cilantro,2 tbsp of cilantro
cinnamon,1 tsp of cinnamon
cinnamon sticks,2 cinnamon sticks
cloves,3 cloves
cocoa powder,2 tbsp of cocoa powder
coconut milk,1 cup of coconut milk
coffee,6 oz of coffee
coleslaw,1 cup of coleslaw
corn,1 cup of corn
cream,0.5 cup of cream
cream cheese,3 oz of cream cheese
croutons,0.5 cup of croutons
cucumber,0.5 cucumber
cuisine,1 type of cuisine
curry powder,1 tbsp of curry powder
dark chocolate,2 tbsp of dark chocolate
dill,1 tsp of dill
egg,1 egg
eggplant,1 eggplant
eggs,2 eggs
egg yolks,2 egg yolks
feta cheese,0.25 cup of feta cheese
flaxseed,1 tbsp of flaxseed
flour,1 cup of flour
fresh mozzarella,4 slices of fresh mozzarella
garlic,2 cloves of garlic
garlic powder,1 tsp of garlic powder
gelatin,1 packet of gelatin
ginger,1 tsp of ginger
goat cheese,2 oz of goat cheese
graham crackers,3 graham crackers
granola,0.5 cup of granola
gravy,0.5 cup of gravy
Greek yogurt,0.5 cup of Greek yogurt
green curry paste,1 tbsp of green curry paste
ground beef,0.5 lb of ground beef
